,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
21st Cen Mgt,,55.46, 100 new,0.00%,-%,-,10.00,39.26,25.94,1,-,-,0.45,27.00,15.90,24.70,21st Cen Mgt,NA,NA,NA
ABG Shipyard,,-315.69, 100 new,0.00%,-%,-,10.00,27.83,138.06,1,-,-,-,41.70,9.39,13.85,ABG Shipyard,41.70,9.50,13.80
ABM Inter,,14.32, 100 new,2.50%,0.30%,0.79,10.00,51.24,0.00,1,84.90,-,5.87,NA,NA,NA,ABM Inter,213.60,37.35,84.05
ACC,,461.23, 26.92 new,170.00%,0.98%,37.16,10.00,42.58,"32,452.46",1,24.90,46.51,3.75,1809.80,1257.00,1728.15,ACC,1809.00,1256.55,1731.20
ACE Edutrend,,12.92,  new,0.00%,-%,-,10.00,43.78,2.11,1,1.12,-,0.18,2.49,1.47,2.30,ACE Edutrend,NA,NA,NA
ADC India Comm,,96.34, 100 new,0.00%,-%,8.46,10.00,21.56,113.62,1,27.38,29.20,2.56,324.80,217.00,247.00,ADC India Comm,NA,NA,NA
ADCC Infocad,,59.44, 100 new,10.00%,0.60%,* -,10.00,18.51,153.52,1500,-,-,2.83,178.00,64.00,168.00,ADCC Infocad,NA,NA,NA
ADF Foods,,94.60, 50.87 new,0.00%,-%,5.83,10.00,55.93,481.80,1,24.73,38.98,2.40,316.10,106.00,227.25,ADF Foods,316.00,106.20,226.50
AEC Enterprises,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AEC Enterprises,NA,NA,NA
AKG Acoustics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AKG Acoustics,NA,NA,NA
ALLSEC Tech,,97.15, 59.59 new,0.00%,-%,15.78,10.00,17.90,534.64,1,19.51,22.23,3.61,464.00,215.00,350.85,ALLSEC Tech,463.90,211.00,350.10
AMD Industries,,64.26, 91.00 new,5.00%,1.71%,0.12,10.00,23.10,56.06,1,4.88,243.75,0.46,40.55,25.00,29.25,AMD Industries,40.40,24.90,29.55
ANS Industries,,14.34,  new,0.00%,-%,-,10.00,55.93,20.83,1,250.00,-,1.57,34.00,21.45,22.50,ANS Industries,NA,NA,NA
APR,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,APR,NA,NA,NA
ASL Industries,,27.26,  new,0.00%,-%,* -,10.00,55.13,0.00,4000,-,-,1.18,NA,NA,NA,ASL Industries,35.30,28.25,32.10
