,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
20th CenFinance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenFinance,NA,NA,NA
20th CenPrudent,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenPrudent,NA,NA,NA
20th CenQuantum,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenQuantum,NA,NA,NA
63 Moons Tech,606.20, 70.17 new,250.00%,7.92%,10.65,2.00,18.51,290.76,1,3.82,5.92,0.10,93.00,60.20,63.10,63 Moons Tech,93.60,60.35,63.30
A F Ent,7.14,  new,0.00%,-%,-,10.00,39.26,2.77,1,38.50,-,0.97,15.87,4.28,6.93,A F Ent,NA,NA,NA
AAR COMMERCIAL ,48.74,  new,0.00%,-%,0.28,10.00,39.26,10.01,1,35.71,35.71,0.21,10.00,10.00,10.00,AAR COMMERCIAL ,NA,NA,NA
ABC Bearings,120.18, 100 new,20.00%,0.46%,10.26,10.00,36.58,506.70,1,20.74,42.76,3.65,447.00,141.25,438.70,ABC Bearings,NA,NA,NA
ABC India,55.95, 95.24 new,0.00%,-%,-,10.00,28.91,54.50,1,-,-,1.80,116.00,70.00,100.60,ABC India,NA,NA,NA
ABM Knowledg,59.88, 88.48 new,0.00%,-%,9.52,5.00,18.51,291.43,1,14.05,15.30,2.43,180.00,99.00,145.70,ABM Knowledg,NA,NA,NA
ACE Integrated,NA, 0.00 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ACE Integrated,41.80,36.00,40.05
ADS Diagnostic ,7.17,  new,0.00%,-%,-,10.00,54.86,0.00,100,-,-,-,NA,NA,NA,ADS Diagnostic ,NA,NA,NA
AGS Infotech,12.58,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,AGS Infotech,NA,NA,NA
AMEI Power,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AMEI Power,NA,NA,NA
ANG Industries,-20.21, 74.52 new,0.00%,-%,-,10.00,64.71,12.71,1,-,-,-,17.10,7.05,7.90,ANG Industries,17.25,7.05,7.75
APL Apollo,163.93, 63.31 new,100.00%,0.63%,16.67,10.00,20.73,"3,750.80",1,54.34,95.38,9.70,1738.00,814.00,1590.00,APL Apollo,1741.90,811.00,1599.95
ARC Finance,10.10,  new,0.00%,-%,0.03,10.00,39.26,105.53,1,696.67,696.67,2.07,23.50,10.00,20.90,ARC Finance,NA,NA,NA
ASR Agro,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ASR Agro,NA,NA,NA
ATN Int,0.91,  new,0.00%,-%,-,4.00,39.26,0.75,1,-,-,0.21,0.54,0.19,0.19,ATN Int,NA,NA,NA
ATN Telefilms,2.58,  new,0.00%,-%,0.01,2.00,40.71,0.00,1,-,-,-,NA,NA,NA,ATN Telefilms,NA,NA,NA
ATV Projects,1.83, 100 new,0.00%,-%,28.49,10.00,31.07,41.43,1,0.27,0.27,4.26,11.64,5.25,7.80,ATV Projects,NA,NA,NA
AVI Industries,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AVI Industries,NA,NA,NA
AXISCADES Engg,35.41, 34.96 new,0.00%,-%,3.45,5.00,17.90,581.69,1,25.38,44.65,4.35,243.35,126.95,154.05,AXISCADES Engg,243.00,111.15,154.50
Aamcol Tools,23.10,  new,0.00%,-%,-,10.00,27.65,5.29,1,5.04,-,1.53,35.35,31.95,35.35,Aamcol Tools,NA,NA,NA
Aanchal Ispat,19.87, 91.39 new,0.00%,-%,* -,10.00,15.09,26.07,1,-,-,0.63,15.45,3.55,12.50,Aanchal Ispat,NA,NA,NA
Aarvee Denim,112.99, 63.85 new,0.00%,-%,0.51,10.00,29.41,147.56,1,4.31,123.33,0.56,110.90,57.05,62.90,Aarvee Denim,111.00,55.50,62.60
Aashee Infotech,4.43,  new,0.00%,-%,-,10.00,18.51,0.99,1,-,-,0.58,2.60,2.20,2.57,Aashee Infotech,NA,NA,NA
Abhinav Leasing,1.10, 100 new,0.00%,-%,0.04,1.00,39.26,14.99,1,75.00,75.00,2.73,23.70,2.89,3.00,Abhinav Leasing,NA,NA,NA
Abner Pharma,11.67,  new,0.00%,-%,-,10.00,26.20,0.00,1,-,-,-,NA,NA,NA,Abner Pharma,NA,NA,NA
Accel Frontline,-14.91, 100 new,0.00%,-%,-,10.00,18.51,131.10,1,-,-,-,81.80,43.00,44.05,Accel Frontline,81.65,42.40,46.90
Accel Transmati,-22.70,  new,0.00%,-%,-,10.00,22.89,5.10,1,-,-,-,7.00,4.52,4.62,Accel Transmati,NA,NA,NA
Accentia Techno,96.68,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Accentia Techno,NA,NA,NA
Ace Stonecraft ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ace Stonecraft ,NA,NA,NA
Achal Invest,0.57, 100 new,0.00%,-%,* -,1.00,39.26,11.99,1,190.00,-,3.33,42.00,1.10,1.90,Achal Invest,NA,NA,NA
Acme Resources,32.09, 70.76 new,0.00%,-%,3.90,10.00,39.26,36.04,1,3.56,3.59,0.44,21.00,9.60,14.00,Acme Resources,NA,NA,NA
Action Financia,20.19,  new,0.00%,-%,-,10.00,39.26,11.43,1,36.56,-,0.45,10.70,6.20,9.14,Action Financia,NA,NA,NA
Adam Comsof,35.49,  new,0.00%,-%,5.17,10.00,20.09,0.00,1,-,-,-,NA,NA,NA,Adam Comsof,NA,NA,NA
Adani Enterpris,34.25, 25.18 new,0.00%,-%,2.02,1.00,51.24,"15,243.37",1,50.77,68.61,4.05,160.60,58.35,138.60,Adani Enterpris,160.70,58.35,138.70
Adani Ports,81.44, 58.13 new,65.00%,0.33%,14.98,2.00,30.96,"82,030.40",1,22.52,26.44,4.86,398.40,221.50,396.10,Adani Ports,398.45,221.50,395.75
Adarsh Mercant,15.39,  new,0.00%,-%,0.23,10.00,51.24,1.80,1,21.30,21.30,0.32,4.90,4.67,4.90,Adarsh Mercant,NA,NA,NA
Adhunik Ind,22.45, 76.40 new,0.00%,-%,0.49,10.00,15.09,460.39,1,76.32,200.92,4.39,201.50,94.00,98.45,Adhunik Ind,193.95,88.20,98.30
Adinath Exim,17.24, 100 new,0.00%,-%,0.75,10.00,39.26,8.21,1,26.67,26.67,1.16,27.30,13.50,20.00,Adinath Exim,NA,NA,NA
Aditya Birla,3.17, 89.77 new,0.00%,-%,0.73,1.00,39.26,"1,722.60",1,138.56,184.11,42.40,164.45,23.10,134.40,Aditya Birla,164.90,22.20,134.70
Aditya Birla F,12.90, 59.45 new,0.00%,-%,0.70,10.00,191.91,"12,953.97",1,43.61,239.86,13.02,188.60,127.00,167.90,Aditya Birla F,188.45,126.85,168.00
Aditya Mills,22.18,  new,0.00%,-%,* -,10.00,16.19,0.00,100,-,-,-,NA,NA,NA,Aditya Mills,NA,NA,NA
Aditya Vision,11.28, 100 new,0.00%,-%,* -,10.00,39.71,67.73,8000,-,-,4.26,48.00,15.00,48.00,Aditya Vision,NA,NA,NA
Ador Fontech,54.07, 72.58 new,150.00%,2.91%,5.05,2.00,20.45,180.60,1,14.93,20.44,1.91,108.70,81.55,103.20,Ador Fontech,NA,NA,NA
Ador Technopak,-12.17,  new,0.00%,-%,6.31,10.00,3.59,0.00,1,-,-,-,NA,NA,NA,Ador Technopak,NA,NA,NA
Ador Welding,174.39, 45.38 new,50.00%,1.27%,13.73,10.00,38.64,534.62,1,17.89,28.63,2.25,418.50,255.00,393.15,Ador Welding,419.95,251.00,394.05
Advance Power,14.25,  new,0.00%,-%,-,10.00,17.85,2.12,1,-,-,0.13,2.16,1.60,1.80,Advance Power,NA,NA,NA
Advanced Micron,-88.89,  new,0.00%,-%,-,10.00,35.94,0.00,1,-,-,-,NA,NA,NA,Advanced Micron,NA,NA,NA
Aesculapius Rem,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aesculapius Rem,NA,NA,NA
Agio Paper,-3.23, 100 new,0.00%,-%,-,10.00,11.71,5.32,1,-,-,-,5.05,1.17,3.30,Agio Paper,NA,NA,NA
Agro Dutch Ind,-86.45,  new,0.00%,-%,-,10.00,55.93,0.00,1,-,-,-,NA,NA,NA,Agro Dutch Ind,NA,NA,NA
Ahimsa Ind,20.59, 100 new,0.00%,-%,* -,10.00,25.38,0.00,6000,-,-,1.27,NA,NA,NA,Ahimsa Ind,27.50,25.00,26.20
Ahlcon Parent,124.75,  new,0.00%,-%,26.86,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,Ahlcon Parent,NA,NA,NA
Akash Housing,10.91,  new,0.00%,-%,1.56,0.00,-,0.00,100,-,-,-,NA,NA,NA,Akash Housing,NA,NA,NA
Akash Infraproj,NA, 72.73 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Akash Infraproj,144.00,74.00,78.30
Akashdeep Metal,11.22, 100 new,0.00%,-%,0.56,10.00,39.26,9.45,1,53.51,54.46,2.72,30.50,13.12,30.50,Akashdeep Metal,NA,NA,NA
Akzo Nobel Chem,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Akzo Nobel Chem,NA,NA,NA
Al-Amanat Finan,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Al-Amanat Finan,NA,NA,NA
Alacrity Sec,12.24, 100 new,0.00%,-%,* -,10.00,39.26,21.16,8000,-,-,0.82,10.05,2.90,10.04,Alacrity Sec,NA,NA,NA
Alan Scott Ind,1.03,  new,0.00%,-%,-,10.00,42.20,2.12,1,-,-,6.31,9.55,6.21,6.50,Alan Scott Ind,NA,NA,NA
Alang Ind Gases,8.49,  new,0.00%,-%,-,10.00,35.12,0.00,1,-,-,-,NA,NA,NA,Alang Ind Gases,NA,NA,NA
Albert David,260.84, 60.94 new,55.00%,1.69%,21.09,10.00,29.58,185.97,1,9.44,15.45,1.25,424.80,276.15,325.85,Albert David,425.00,275.00,327.40
Alert Petrogas,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alert Petrogas,NA,NA,NA
Alexander Stamp,11.27,  new,0.00%,-%,0.68,10.00,39.26,24.63,1,60.37,60.37,3.64,130.95,32.30,41.05,Alexander Stamp,NA,NA,NA
Alexcon Foam,-19.91,  new,0.00%,-%,-,10.00,16.67,0.00,1,-,-,-,NA,NA,NA,Alexcon Foam,NA,NA,NA
Alfa ICA,31.84, 50.00 new,0.00%,-%,2.33,10.00,44.52,26.06,1,16.37,27.68,2.03,69.90,21.60,64.50,Alfa ICA,NA,NA,NA
Alfavision Sec,24.68,  new,0.00%,-%,1.67,10.00,39.26,17.76,1,28.46,33.74,2.28,79.00,56.05,56.35,Alfavision Sec,NA,NA,NA
Alfred Herbert,618.68, 56.10 new,0.00%,-%,222.48,10.00,27.65,69.54,1,4.03,4.05,1.46,991.60,398.75,901.50,Alfred Herbert,NA,NA,NA
Alka Diamond,18.24, 100 new,0.00%,-%,-,10.00,18.79,4.54,1,-,-,0.51,16.50,9.24,9.35,Alka Diamond,NA,NA,NA
Alka Secur,-0.18, 100 new,0.00%,-%,0.01,1.00,39.26,3.36,1,35.00,35.00,-,0.46,0.19,0.35,Alka Secur,NA,NA,NA
