,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
3M India,,1088.67, 86.72 new,0.00%,-%,213.72,10.00,19.70,"15,095.19",1,52.50,62.70,12.31,14934.95,10055.00,13400.00,3M India,14999.00,10008.80,13378.25
3i Infotech,,-5.15, 74.59 new,0.00%,-%,0.73,10.00,18.51,536.26,1,5.28,5.71,-,7.20,4.02,4.17,3i Infotech,7.15,4.00,4.15
7NR Retail,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,27.20,25.60,27.10,7NR Retail,NA,NA,NA
7Seas Tech,,4.40,  new,0.00%,-%,2.44,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,7Seas Tech,NA,NA,NA
A K S Credits,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,A K S Credits,NA,NA,NA
A.K.Capital Ser,,538.65, 72.86 new,60.00%,1.20%,36.93,10.00,39.26,330.66,1,12.74,13.57,0.93,611.80,212.60,501.00,A.K.Capital Ser,NA,NA,NA
A2Z Infra Eng,,46.97, 61.29 new,0.00%,-%,-,10.00,27.65,590.45,1,-,-,0.87,52.70,33.10,40.70,A2Z Infra Eng,52.65,33.10,40.65
AB Corp,,,,,,,,,,,,,,,,,AB Corp,,,
AB Nuvo,,760.09,  new,50.00%,0.26%,103.30,10.00,18.27,"24,595.47",1,16.62,18.27,2.48,1933.55,1126.95,1887.30,AB Nuvo,1936.80,1125.00,1887.05
ABB India,,154.92, 55.53 new,200.00%,0.28%,18.46,2.00,52.97,"30,252.04",1,55.81,77.33,9.22,1619.45,950.00,1427.60,ABB India,1620.00,931.35,1421.00
ABC Gas,,9.94,  new,0.00%,-%,-,10.00,55.15,0.00,1,-,-,-,NA,NA,NA,ABC Gas,NA,NA,NA
ABL Biotech,,17.85,  new,0.00%,-%,-,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,ABL Biotech,NA,NA,NA
ABans Enterpris,,10.48,  new,0.00%,-%,0.08,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,ABans Enterpris,NA,NA,NA
ACI Infocom,,1.48, 100 new,0.00%,-%,0.02,1.00,33.50,82.54,1,373.50,373.50,5.05,12.20,4.68,7.47,ACI Infocom,NA,NA,NA
AEC India,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AEC India,NA,NA,NA
AI Champdany,,22.43, 100 new,0.00%,-%,-,5.00,12.72,75.00,1,-,-,1.22,34.60,21.30,27.35,AI Champdany,34.00,21.70,27.70
AJ Brothers,,-6.86,  new,0.00%,-%,* -,10.00,5.10,0.00,1,-,-,-,NA,NA,NA,AJ Brothers,NA,NA,NA
APM Industries,,63.57, 91.55 new,175.00%,6.06%,5.78,2.00,10.82,124.91,1,7.48,10.00,0.91,76.85,52.70,57.80,APM Industries,NA,NA,NA
APS-Star Ind,,6.32,  new,NA,-%,* -,0.00,1.00,0.00,50,-,-,-,NA,NA,NA,APS-Star Ind,NA,NA,NA
ARSS Infra,,24.58, 45.60 new,0.00%,-%,-,10.00,35.29,95.22,1,-,-,2.61,96.15,52.40,64.15,ARSS Infra,96.05,52.20,64.00
ASIS Logistics,,-136.77, 100 new,0.00%,-%,-,1.00,49.59,4.12,1,-,-,-,10.45,4.69,5.47,ASIS Logistics,NA,NA,NA
AU Small Financ,,NA, 30.37 new,NA,-%,-,NA,-,"16,753.75",NA,-,-,-,724.45,358.00,589.40,AU Small Financ,725.50,358.00,590.60
Aadhaar Venture,,23.43, 88.03 new,0.00%,-%,-,10.00,51.24,9.43,1,-,-,0.03,1.18,0.12,0.60,Aadhaar Venture,NA,NA,NA
Aagam Capital,,4.63,  new,0.00%,-%,0.19,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Aagam Capital,NA,NA,NA
Aananda Lakshmi,,-51.52, 100 new,0.00%,-%,-,10.00,10.59,1.70,1,-,-,-,6.21,3.30,4.87,Aananda Lakshmi,NA,NA,NA
Aasheesh Sec,,1.02,  new,0.00%,-%,-,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,Aasheesh Sec,NA,NA,NA
Abacus Computer,,-0.19,  new,0.00%,-%,* -,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Abacus Computer,NA,NA,NA
Abbott India,,652.70, 77.07 new,350.00%,0.79%,130.19,10.00,29.58,"9,381.57",1,32.01,33.91,6.76,5190.00,3996.00,4415.00,Abbott India,5049.00,3988.00,4444.85
Abco Plastic,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Abco Plastic,NA,NA,NA
Abhijit Trading,,56.25,  new,6.00%,6.00%,0.17,10.00,51.24,1.47,1,47.62,58.82,0.18,10.00,10.00,10.00,Abhijit Trading,NA,NA,NA
Abhishek Corp,,-318.71,  new,0.00%,-%,-,10.00,10.59,4.48,1,-,-,-,2.91,0.95,2.80,Abhishek Corp,NA,NA,NA
Accelya Kale,,63.62, 78.16 new,450.00%,3.17%,58.88,10.00,18.51,"2,117.29",1,20.93,24.09,22.30,1864.00,1135.00,1418.50,Accelya Kale,1890.00,1100.00,1428.65
Accurate Exp,,9.96,  new,0.00%,-%,* -,10.00,17.01,0.00,1,-,-,-,NA,NA,NA,Accurate Exp,NA,NA,NA
Ace Men Engg Wo,,10.01,  new,0.00%,-%,* -,10.00,51.24,6.86,1,-,-,2.21,28.40,12.50,22.15,Ace Men Engg Wo,NA,NA,NA
Acme Industries,,10.00,  new,0.00%,-%,* -,10.00,0.73,0.00,1,-,-,-,NA,NA,NA,Acme Industries,NA,NA,NA
Acrysil India,,172.37, 78.53 new,50.00%,0.96%,16.04,10.00,34.04,270.32,1,20.56,32.48,3.02,624.90,440.00,520.95,Acrysil India,NA,NA,NA
Adarsh Chemical,,-49.00,  new,0.00%,-%,* -,10.00,16.93,0.00,100,-,-,-,NA,NA,NA,Adarsh Chemical,NA,NA,NA
Adcon Capital S,,9.32,  new,0.00%,-%,0.01,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Adcon Capital S,NA,NA,NA
Adharshila Cap,,10.61,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Adharshila Cap,NA,NA,NA
Adhinath Textil,,2.06, 100 new,0.00%,-%,0.36,10.00,10.82,2.76,1,6.43,11.25,1.97,5.34,1.65,4.05,Adhinath Textil,NA,NA,NA
Adi Rasayan,,-217.95, 100 new,0.00%,-%,0.40,10.00,19.71,1.35,1,103.75,103.75,-,51.00,2.75,41.50,Adi Rasayan,NA,NA,NA
Aditya Exports ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aditya Exports ,NA,NA,NA
Aditya Forge,,-20.59,  new,0.00%,-%,-,10.00,55.13,0.00,1,-,-,-,NA,NA,NA,Aditya Forge,NA,NA,NA
Advance Life,,97.80,  new,0.00%,-%,0.91,10.00,10.59,6.05,1,20.91,21.37,0.20,33.65,14.25,19.45,Advance Life,NA,NA,NA
Advanta,,26.97,  new,0.00%,-%,4.71,2.00,60.14,0.00,1,-,-,-,NA,NA,NA,Advanta,NA,NA,NA
Advent Computer,,9.51, 100 new,0.00%,-%,* -,10.00,18.51,2.91,1,-,-,0.19,6.66,1.79,1.79,Advent Computer,NA,NA,NA
Advik Industrie,,19.05, 0.00 new,0.00%,-%,0.27,10.00,39.26,18.72,1,113.33,151.11,2.14,46.10,15.75,40.80,Advik Industrie,NA,NA,NA
Advik Labors,,6.07, 100 new,0.00%,-%,-,10.00,29.58,10.51,1,-,-,0.91,9.02,4.50,5.50,Advik Labors,NA,NA,NA
Aeonian Pub,,211.32,  new,0.00%,-%,15.41,2.00,27.21,0.00,1,-,-,-,NA,NA,NA,Aeonian Pub,NA,NA,NA
Agro Phos India,,20.50,  new,0.00%,-%,* -,10.00,17.49,0.00,6000,-,-,1.07,NA,NA,NA,Agro Phos India,26.40,18.20,21.90
Agro Tech Foods,,147.67, 60.17 new,20.00%,0.39%,12.03,10.00,15.59,"1,247.71",1,26.81,42.56,3.47,608.80,422.05,512.00,Agro Tech Foods,609.00,425.50,512.00
Air Command Tec,,1.36,  new,NA,-%,-,0.00,-,0.00,100,-,-,-,NA,NA,NA,Air Command Tec,NA,NA,NA
Airan,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Airan,164.70,45.00,145.75
Aishwarya Tele,,15.99, 100 new,0.00%,-%,-,5.00,21.56,9.73,1,11.87,-,0.28,5.62,3.35,4.51,Aishwarya Tele,NA,NA,NA
Ajanta Soya,,24.85, 82.51 new,0.00%,-%,4.35,10.00,15.59,64.62,1,8.08,9.59,1.68,92.65,18.05,41.70,Ajanta Soya,NA,NA,NA
Ajanta Tubes,,-217.00,  new,0.00%,-%,* -,10.00,7.72,0.00,50,-,-,-,NA,NA,NA,Ajanta Tubes,NA,NA,NA
Ajcon Global,,24.06,  new,0.00%,-%,0.67,10.00,39.26,13.00,1,19.68,31.72,0.88,27.55,17.75,21.25,Ajcon Global,NA,NA,NA
Ajmera Realty,,126.87, 38.65 new,25.00%,1.20%,17.18,10.00,35.29,737.55,1,11.72,12.10,1.64,252.20,95.25,207.85,Ajmera Realty,252.15,96.75,208.85
Akar Tools,,51.16, 37.97 new,10.00%,0.97%,4.86,10.00,27.65,55.83,1,9.69,21.30,2.02,123.00,40.35,103.50,Akar Tools,NA,NA,NA
Akash Agro Ind,,15.72,  new,0.00%,-%,0.74,10.00,16.95,0.00,100,-,-,-,NA,NA,NA,Akash Agro Ind,NA,NA,NA
Akhil Ceramics ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Akhil Ceramics ,NA,NA,NA
Akme Star,,15.12, 100 new,0.00%,-%,* -,10.00,28.85,83.08,1,-,-,4.63,83.00,34.00,70.00,Akme Star,NA,NA,NA
Aksh Optifibre,,28.33, 56.90 new,0.00%,-%,0.93,5.00,29.67,449.77,1,12.98,29.73,0.98,30.80,14.15,27.65,Aksh Optifibre,30.90,14.25,27.70
AksharChem,,168.02, 64.16 new,35.00%,0.43%,63.30,10.00,19.71,667.28,1,11.79,12.85,4.84,941.95,233.00,813.50,AksharChem,945.00,725.00,811.10
Akzo Nobel,,215.96, 48.46 new,220.00%,1.24%,52.95,10.00,55.80,"8,282.21",1,27.28,33.52,8.22,2095.00,1328.00,1775.00,Akzo Nobel,2089.00,1328.25,1786.05
Alankit,,2.34, 100 new,20.00%,0.58%,0.93,1.00,39.26,494.64,1,33.59,37.20,14.79,164.95,17.35,34.60,Alankit,42.50,17.40,35.00
Alchemie Organi,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Alchemie Organi,NA,NA,NA
Alchemist,,-60.62, 80.23 new,0.00%,-%,-,10.00,19.70,20.14,1,-,-,-,31.30,14.00,14.85,Alchemist,31.50,13.80,14.80
Alchemist Corp,,8.43,  new,0.00%,-%,-,10.00,10.59,3.25,1,-,-,0.79,15.15,4.36,6.62,Alchemist Corp,NA,NA,NA
Alcobex Metals,,-261.90,  new,0.00%,-%,-,10.00,87.11,0.00,100,-,-,-,NA,NA,NA,Alcobex Metals,NA,NA,NA
Alfa Transforme,,18.52, 100 new,0.00%,-%,-,10.00,17.85,21.48,1,-,-,1.53,33.60,17.60,28.25,Alfa Transforme,NA,NA,NA
Alka India,,0.48,  new,0.00%,-%,-,1.00,10.59,9.50,1,-,-,0.40,0.20,0.19,0.19,Alka India,NA,NA,NA
All Metal Proc,,18.99,  new,0.00%,-%,* -,0.00,3.50,0.00,100,-,-,-,NA,NA,NA,All Metal Proc,NA,NA,NA
Alliance Capita,,-11.95,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Alliance Capita,NA,NA,NA
Allied Computer,,10.13, 100 new,0.00%,-%,0.01,10.00,33.50,11.20,1,59.00,59.00,0.06,1.38,0.07,0.59,Allied Computer,NA,NA,NA
Alna Trading,,86.45,  new,0.00%,-%,1.81,10.00,32.00,0.00,50,-,-,-,NA,NA,NA,Alna Trading,NA,NA,NA
Alpa Labs,,47.54, 100 new,0.00%,-%,2.74,10.00,29.58,68.70,1,10.53,11.92,0.69,49.90,28.10,32.65,Alpa Labs,49.40,27.95,32.85
Alpine Hsg,,46.21, 88.54 new,0.00%,-%,2.33,10.00,35.29,38.20,1,9.80,12.62,0.64,40.00,19.80,29.40,Alpine Hsg,NA,NA,NA
Alpine Ind,,56.65,  new,NA,-%,* -,0.00,0.30,0.00,50,-,-,-,NA,NA,NA,Alpine Ind,NA,NA,NA
Alps Motor Fin,,1.03, 100 new,0.00%,-%,* -,1.00,39.26,166.26,1,-,-,15.89,63.00,7.40,16.37,Alps Motor Fin,NA,NA,NA
Amal,,-1.59, 65.97 new,0.00%,-%,15.15,10.00,19.71,102.07,1,9.27,9.59,-,207.90,32.75,145.30,Amal,NA,NA,NA
Amara Raja Batt,,151.81, 51.40 new,425.00%,0.51%,28.01,1.00,27.93,"14,254.30",1,21.29,29.79,5.50,1077.00,806.85,834.50,Amara Raja Batt,1079.70,805.70,834.40
Amardeep,,0.98,  new,0.00%,-%,-,1.00,31.07,0.00,1,-,-,-,NA,NA,NA,Amardeep,NA,NA,NA
Amarnath Sec,,11.15,  new,0.00%,-%,0.40,10.00,39.26,5.87,1,43.44,48.88,1.75,36.85,16.85,19.55,Amarnath Sec,NA,NA,NA
Amb Cem East,,14.58,  new,0.00%,-%,6.37,0.00,113.35,0.00,1,-,-,-,NA,NA,NA,Amb Cem East,NA,NA,NA
Amba Enterprise,,10.68, 34.29 new,0.00%,-%,0.88,5.00,52.97,136.16,1,114.41,122.22,10.07,226.55,83.95,107.55,Amba Enterprise,NA,NA,NA
Ambika Cotton,,682.18, 84.75 new,150.00%,1.08%,97.21,10.00,10.59,795.03,1,9.35,14.29,2.04,1418.00,765.00,1388.70,Ambika Cotton,1420.00,764.75,1388.55
Ambition Mica,,10.54, 100 new,0.00%,-%,* -,10.00,44.52,63.19,2250,-,-,5.03,80.00,19.00,53.00,Ambition Mica,NA,NA,NA
Amigo Exports,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Amigo Exports,NA,NA,NA
Amit Intern,,9.96, 100 new,0.00%,-%,-,10.00,42.20,7.58,1,-,-,0.40,7.41,2.52,4.00,Amit Intern,NA,NA,NA
Amit Securities,,14.80,  new,0.00%,-%,0.07,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Amit Securities,NA,NA,NA
Ampro Products,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ampro Products,NA,NA,NA
Amrapali Fincap,,106.44,  new,0.00%,-%,* -,10.00,39.26,95.42,1200,-,-,0.67,128.00,56.80,71.00,Amrapali Fincap,NA,NA,NA
Amraworld,,0.97,  new,0.00%,-%,* -,1.00,51.24,0.00,1,-,-,-,NA,NA,NA,Amraworld,NA,NA,NA
Amrit Corp,,545.03, 83.06 new,60.00%,0.90%,35.66,10.00,55.93,213.68,1,16.50,18.65,1.22,862.00,400.00,665.00,Amrit Corp,NA,NA,NA
Anand Cotspin,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anand Cotspin,NA,NA,NA
Anand Credit,,8.62,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Anand Credit,NA,NA,NA
Andhra Sugar,,204.79, 50.11 new,30.00%,0.88%,45.25,10.00,19.70,927.47,1,5.56,7.56,1.67,359.65,196.85,342.15,Andhra Sugar,359.50,195.00,342.85
Anik Steels,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anik Steels,NA,NA,NA
Anjani Cement,,60.29, 64.58 new,0.00%,-%,17.75,10.00,42.58,564.25,1,9.11,12.57,3.70,269.75,122.50,223.15,Anjani Cement,275.35,212.15,224.60
Anjani Foods,,17.29,  new,0.00%,-%,-,10.00,55.93,7.52,1,-,-,1.09,18.80,6.06,18.80,Anjani Foods,NA,NA,NA
Anjani Solvents,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anjani Solvents,NA,NA,NA
Ankit Yarns,,0.28,  new,0.00%,-%,* -,10.00,65.95,0.00,100,-,-,-,NA,NA,NA,Ankit Yarns,NA,NA,NA
Ankuj Zinc-Oxid,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ankuj Zinc-Oxid,NA,NA,NA
Anmol Drugs,,2.31,  new,0.00%,-%,* -,10.00,23.62,0.00,100,-,-,-,NA,NA,NA,Anmol Drugs,NA,NA,NA
Anna Finance,,21.73,  new,0.00%,-%,0.37,10.00,27.66,0.00,1,-,-,-,NA,NA,NA,Anna Finance,NA,NA,NA
Anshuni Com,,71.82,  new,0.00%,-%,1.57,10.00,18.79,0.09,100,1.79,2.50,0.05,208.00,3.92,3.92,Anshuni Com,NA,NA,NA
Anubhav Industr,,10.15,  new,0.00%,-%,0.21,10.00,39.26,4.78,1,44.81,44.81,0.93,25.85,7.21,9.41,Anubhav Industr,NA,NA,NA
Anubhav Infra,,32.55,  new,0.00%,-%,* -,10.00,35.29,19.34,1,-,-,0.28,18.00,9.03,9.03,Anubhav Infra,NA,NA,NA
Ap Tanneries,,-51.58,  new,0.00%,-%,-,10.00,26.97,0.00,50,-,-,-,NA,NA,NA,Ap Tanneries,NA,NA,NA
Apple Credit,,-10.60,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Apple Credit,NA,NA,NA
Aptus Ind,,0.48, 100 new,0.00%,-%,* -,10.00,18.51,1.80,1,8.50,-,3.54,4.72,1.70,1.70,Aptus Ind,NA,NA,NA
Aqua Logistics,,16.47,  new,0.00%,-%,-,1.00,41.38,0.00,1,-,-,-,NA,NA,NA,Aqua Logistics,NA,NA,NA
Aquamarine Food,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aquamarine Food,NA,NA,NA
Arambhan,,18.09,  new,0.00%,-%,* -,10.00,59.12,13.90,5000,-,-,1.54,51.50,17.10,27.80,Arambhan,NA,NA,NA
Arcee Ind,,9.31,  new,0.00%,-%,-,10.00,63.54,1.26,1,-,-,0.26,4.56,1.94,2.45,Arcee Ind,NA,NA,NA
Archana Soft,,4.22,  new,0.00%,-%,0.02,10.00,18.51,2.58,1,212.50,212.50,1.01,4.71,1.40,4.25,Archana Soft,NA,NA,NA
Arcotech,,21.51, 61.89 new,15.00%,0.29%,2.52,2.00,28.68,"1,068.90",1,32.94,40.40,4.73,811.45,68.00,101.80,Arcotech,162.59,57.90,101.65
Arex Industries,,54.07, 100 new,30.00%,3.40%,8.12,10.00,24.04,34.92,1,6.10,10.86,1.63,120.00,64.10,88.20,Arex Industries,NA,NA,NA
Arhant Suede,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arhant Suede,NA,NA,NA
Arihant Avenues,,12.40,  new,0.00%,-%,0.04,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Arihant Avenues,NA,NA,NA
Arihant Threads,,12.74,  new,0.00%,-%,* -,0.00,2.20,0.00,1,-,-,-,NA,NA,NA,Arihant Threads,NA,NA,NA
Aro Granite,,111.95, 74.78 new,10.00%,1.47%,5.18,10.00,25.81,104.35,1,6.13,13.17,0.61,91.40,60.05,68.20,Aro Granite,91.50,56.50,67.80
Arraycom India,,,,,,,,,,,,,,,,,Arraycom India,,,
Arshiya,,-6.48, 89.02 new,0.00%,-%,-,2.00,29.04,"1,077.64",1,-,-,-,83.40,23.30,69.00,Arshiya,82.90,23.40,69.15
Arti Agro Indus,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arti Agro Indus,NA,NA,NA
Aruna Hotels,,-26.02,  new,0.00%,-%,-,10.00,41.40,0.00,1,-,-,-,NA,NA,NA,Aruna Hotels,NA,NA,NA
Arunoday Mills,,-14.81,  new,0.00%,-%,-,10.00,14.26,0.00,1,-,-,-,NA,NA,NA,Arunoday Mills,NA,NA,NA
Arvind,,125.40, 33.27 new,24.00%,0.66%,10.48,10.00,29.41,"9,450.09",1,20.86,34.88,2.92,426.50,286.95,365.55,Arvind,426.85,286.55,365.90
Arvind Intl,,9.91,  new,0.00%,-%,-,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Arvind Intl,NA,NA,NA
Arvind Products,,2.42,  new,0.00%,-%,0.25,10.00,16.54,0.00,1,-,-,-,NA,NA,NA,Arvind Products,NA,NA,NA
Aryaman Cap,,12.12,  new,0.00%,-%,* -,10.00,39.26,27.07,5000,-,-,1.86,24.50,15.00,22.60,Aryaman Cap,NA,NA,NA
