,Company Name,MC Link
0,,
1,Reliance Info,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/relianceinfo/RI33
2,Velan Hotels,http://www.moneycontrol.com/india/stockpricequote/hotels/velanhotels/VH01
3,Menon Pistons,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/menonpistons/MP18
4,Anupama Steel,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/anupamasteel/ASL06
5,Larsen,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
6,GSB Finance,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/gsbfinance/GSB
7,Mandovi Pell,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/mandovipellets/MP03
8,Chennai Ferrous,http://www.moneycontrol.com/india/stockpricequote/steelpigiron/chennaiferrousindustries/CFI02
9,Mercury Trade,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/mercurytradelinks/MTL02
10,Indian Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04
11,Crest Ventures,http://www.moneycontrol.com/india/stockpricequote/financehousing/crestventures/SR
12,JIK Industries,http://www.moneycontrol.com/india/stockpricequote/trading/jikindustries/JIK
13,Blow Plast,http://www.moneycontrol.com/india/stockpricequote/plastics/blowplast/BP07
14,Ind Ratna(Ro,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indratnarolledover/IR04
15,Hind Nitro,http://www.moneycontrol.com/india/stockpricequote/chemicals/hindustannitroprodgujarat/HNG
16,Adhunik Yarns,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY
17,Gloster,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gloster/GJM
18,BCL Financial,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bclfinancialservices/BCL
19,ADCC Infocad,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/adccinfocad/AI28
20,Patni Computer,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/patnicomputersystems/PCS02
21,HDFC,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
22,Tungabhadra Ind,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/tungabhadraindustries/TIL01
23,Vaishno Cement,http://www.moneycontrol.com/india/stockpricequote/cementmini/vaishnocementcompany/VCC
24,Cochin Minerals,http://www.moneycontrol.com/india/stockpricequote/chemicals/cochinmineralsrutile/CMR
25,Kshitij Invt,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/kshitijinvestments/KIL05
26,IDBI TaxInit-96,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/idbimftaxinit96/IDB02
27,Jayant Pa(Pp,http://www.moneycontrol.com/india/stockpricequote/paper/jayantpaper/JP10
28,GMR Infra,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27
29,Camson Seeds,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/camsonseeds/CS22
30,Manugraph Ind,http://www.moneycontrol.com/india/stockpricequote/engineering/manugraphindustries/MI08
31,Super Fine Knit,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/superfineknitters/SFK
32,Sunteck Realty,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05
33,Sobhagya Mercan,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/sobhagyamercantile/SML
34,Neycer India,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/neycerindia/NIL
35,MS Securities,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/mssecurities/MSS
36,Canopy Sec,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/canopysecuritiesfinance/CSF
37,Techno Forge,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/technoforge/TF02
38,Weston Componen,http://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/westoncomponents/WC01
39,Kanthal Bimetal,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/kanthalbimetals/KB01
40,Kanva Finance,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/kanvafinance/KF04
41,Flex Engg,http://www.moneycontrol.com/india/stockpricequote/engineering/flexengineering/FE01
